index ,,                 Name                         ,        Author          ,     Genre           , Pages_Count , Keywords                           , Rating , Year_Written 
,,---------------------------------------------,------------------------,---------------------,-------------,-----------------------------------,--------,--------------
1,1, Slaughterhouse-Five                         , Kurt Vonnegut          , Science Fiction    ,275," war, time travel, absurdism    ",4,1969
2,2, The Road                                     , Cormac McCarthy        , Post-Apocalyptic   ,287," survival, father-son, journey  ",5,2006
3,3, The Shadow of the Wind                       , Carlos Ruiz Zaf��n      , Mystery             ,487," books, mystery, Barcelona      ",4,2001
4,4, Beloved                                      , Toni Morrison          , Magical Realism     ,275," slavery, trauma, haunting      ",4,1987
5,5, The Catcher in the Rye                       , J.D. Salinger          , Coming-of-Age       ,277," adolescence, alienation       ",4,1951
6,6, One Hundred Years of Solitude                , Gabriel Garc��a Mǭrquez , Magic Realism       ,417," family, magical realism       ",5,1967
7,7, The Picture of Dorian Gray                   , Oscar Wilde            , Philosophical Novel,253," decadence, vanity, morality   ",4,1890
8,8, The Stranger                                 , Albert Camus           , Absurdist Fiction   ,123," existentialism, alienation    ",4,1942
9,9, The Great Gatsby                             , F. Scott Fitzgerald   , Modernist Novel     ,180," wealth, love, disillusionment ",4,1925
10,10, The Master and Margarita                     , Mikhail Bulgakov      , Satire              ,395," devil, satire, Soviet Union   ",5,1967
11,11, Crime and Punishment                         , Fyodor Dostoevsky     , Psychological Fiction ,671," guilt, redemption, morality ",5,1866
12,12, The Brothers Karamazov                      , Fyodor Dostoevsky     , Philosophical Novel ,796," morality, religion, family    ",5,1880
13,13, The Book Thief                               , Markus Zusak          , Historical Fiction  ,584," World War II, death, books    ",5,2005
14,14, The Bell Jar                                 , Sylvia Plath          , Autobiographical Novel ,244," mental illness, identity, society ",5,1963
15,15, The Hitchhiker's Guide to the Galaxy         , Douglas Adams         , Science Fiction     ,215," humor, satire, space          ",5,1979
16,16, Fahrenheit 451                               , Ray Bradbury          , Dystopian Fiction   ,158," censorship, freedom, society  ",5,1953
17,17, The Count of Monte Cristo                    , Alexandre Dumas       , Adventure           ,1276," revenge, adventure, betrayal  ",5,1844
18,18,1984, George Orwell         , Dystopian Fiction   ,328," totalitarianism, surveillance ",4,1949
19,19, The Lord of the Rings                        , J.R.R. Tolkien        , High Fantasy        ,1137," adventure, epic, fantasy      ",5,    1954-1955
20,20, The Hobbit                                   , J.R.R. Tolkien        , High Fantasy        ,310," adventure, fantasy, quest     ",5,1937
21,21, The Name of the Wind                         , Patrick Rothfuss      , Fantasy             ,662," magic, adventure, storytelling ",5,2007
23,23, The Handmaid's Tale                          , Margaret Atwood       , Dystopian Fiction   ,311," feminism, dystopia, oppression ",4,1985
24,24, The Odyssey                                  , Homer                 , Epic Poetry         ,512," journey, heroism, mythology   ",5,    8th century BC
25,25, The Alchemist                                , Paulo Coelho          , Allegorical Novel   ,197," journey, destiny, spirituality ",5,1988
26,26, Don Quixote                                  , Miguel de Cervantes   , Novel               ,863," adventure, chivalry, satire   ",4,1605
27,27, The Divine Comedy                            , Dante Alighieri       , Epic Poetry         ,798," journey, allegory, theology   ",5,1320
28,28, Les MisǸrables                               , Victor Hugo           , Historical Novel    ,1232," redemption, justice, love     ",5,1862
29,29, Anna Karenina                                , Leo Tolstoy           , Novel               ,964," love, adultery, society       ",5,1877
30,30, War and Peace                                , Leo Tolstoy           , Historical Novel    ,1225," war, peace, society           ",4,1869
31,31, To Kill a Mockingbird                       , Harper Lee             , Legal Drama         ,281," racism, justice, childhood     ",5,1960
32,32, Moby-Dick                                    , Herman Melville        , Novel               ,585," whaling, obsession, fate       ",5,1851
33,33, The Kite Runner                              , Khaled Hosseini        , Historical Fiction  ,371," friendship, redemption, betrayal ",5,2003
34,34, Brave New World                              , Aldous Huxley          , Dystopian Fiction   ,259," society, control, freedom      ",5,1932
35,35, Jane Eyre                                    , Charlotte BrontǮ       , Gothic Romance      ,554," love, identity, independence   ",5,1847
36,36, Wuthering Heights                            , Emily BrontǮ           , Gothic Fiction      ,348," love, revenge, tragedy         ",5,1847
37,37, Middlemarch                                  , George Eliot           , Novel               ,904," society, marriage, politics    ",5,1871
38,38, The Grapes of Wrath                          , John Steinbeck         , Historical Fiction  ,464," poverty, migration, injustice  ",5,1939
39,39, Frankenstein                                 , Mary Shelley           , Gothic Science Fiction ,280," creation, ambition, morality   ",5,1818
40,40, Pride and Prejudice                          , Jane Austen            , Romance             ,279," love, marriage, social class   ",5,1813
41,41, Sense and Sensibility                        , Jane Austen            , Romance             ,312," love, family, society         ",5,1811
42,42, Rebecca                                      , Daphne du Maurier      , Gothic Romance      ,390," mystery, suspense, marriage    ",5,1938
43,43, Little Women                                 , Louisa May Alcott      , Bildungsroman       ,759," family, sisterhood, coming-of-age ",5,    1868-1869
44,44, Dracula                                      , Bram Stoker            , Gothic Horror       ,418," vampire, horror, Transylvania ",5,1897
45,45, The Secret History                           , Donna Tartt            , Mystery             ,559," murder, academia, obsession   ",5,1992
46,46, The Iliad                                    , Homer                  , Epic Poetry         ,683," war, heroism, mythology       ",5,    8th century BC
51,51, Gone with the Wind                           , Margaret Mitchell      , Historical Novel    ,1037," love, war, Civil War          ",5,1936
52,52, The Stand                                    , Stephen King           , Post-Apocalyptic    ,1153," pandemic, survival, good vs. evil ",5,1978
53,53, The Shining                                  , Stephen King           , Horror              ,447," haunted hotel, madness, evil  ",5,1977
54,54, The Trial                                    , Franz Kafka            , Psychological Fiction ,256," bureaucracy, alienation, identity ",5,1925
